active;barcode;cost_method;standard_price;description;description_purchase;description_picking;description_pickingout;description_pickingin;description_sale;sale_delay;di_categorie_id;di_calibre_id;di_des;di_marque_id;di_origine_id;image;image_small;image_medium;color;message_last_post;di_lavage;di_station_id;purchase_line_warn_msg;sale_line_warn_msg;property_cost_method;activity_summary;name;hs_code;purchase_ok;rental;sale_ok;weight;purchase_method;invoice_policy;price;list_price;di_prixmax;di_prixmin;lst_price;expense_policy;default_code;service_type;tracking;sequence;type;di_un_prix;di_un_saisie;valuation;property_valuation
True;1230000000049;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT  ESP CAL 12 CALIC;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10049;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000050;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT  ESP CAL 15 CALIC;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10050;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000051;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT  ESP CAL 9 CALIC;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10051;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000052;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ARTICHAUT  FR CAL 12 CALIC;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10052;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000053;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ARTICHAUT  FR CAL 15 CALIC;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10053;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000054;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT BLANC ESP CAL 18;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10054;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
True;1230000000055;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT BOUQUET ESP X 12;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10055;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
True;1230000000056;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ARTICHAUT CALICOT ESP CAL 18;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10056;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000057;standard;0.0;;;;;;;0.0;;;;;MAROC;;;;0;;False;;;;Prix standard;;ASP POINTES  MAROC 2KG 10/12;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10057;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000058;standard;0.0;;;;;;;0.0;;;;;MAROC;;;;0;;False;;;;Prix standard;;ASP POINTES  MAROC 2KG 12/16;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10058;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000059;standard;0.0;;;;;;;0.0;;;;;MAROC;;;;0;;False;;;;Prix standard;;ASP POINTES  MAROC 2KG 16+;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10059;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000060;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ASP POINTES ESP 4KG 16+;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10060;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000061;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ASP POINTES ESP 4KG 22+;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10061;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000062;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ASP.DES BOIS ORNITHOGALE 200G FRANCE;;True;False;True;0.2;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10062;Mettre manuellement les quantités sur la commande;Pas de suivi;1;Produit stockable;Pièce;Pièce;manual_periodic;Périodique (manuel)
True;1230000000063;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ASPERGE +16 ESP 8 X 500;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10063;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
True;1230000000064;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ASPERGE +22 ESP 8 X 500;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10064;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
True;1230000000065;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ASPERGE 22+  CAT 2   5 KG HELLIA;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10065;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000066;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ASPERGE BL/VIO +16 5 KG Ventoux;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10066;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000067;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ASPERGE BL/VIO +22 5 KG Ventoux;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10067;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
